"geo_area","pop2021","visitor2021","ratio","visitorTOpop","region","fips","x","y","order","hole","piece","group","abbr","full","county"
"Butte",10456,114877,0.09,1099,"Black Hills and Badlands","46019",-320442.3739117,-26308.75819245,42102,FALSE,1,"46019.1","SD","South Dakota","Butte County"
"Butte",10456,114877,0.09,1099,"Black Hills and Badlands","46019",-318890.80593433,7702.20679975,42103,FALSE,1,"46019.1","SD","South Dakota","Butte County"
"Campbell",1380,30874,0.04,2237,"Missouri River","46021",-38611.620064,105045.32218483,42104,FALSE,1,"46021.1","SD","South Dakota","Campbell County"
"Campbell",1380,30874,0.04,2237,"Missouri River","46021",-22743.00354905,104926.94088175,42105,FALSE,1,"46021.1","SD","South Dakota","Campbell County"
"Campbell",1380,30874,0.04,2237,"Missouri River","46021",-11759.93497073,104809.51236127,42106,FALSE,1,"46021.1","SD","South Dakota","Campbell County"
"Campbell",1380,30874,0.04,2237,"Missouri River","46021",9256.59029968,104714.78691122,42107,FALSE,1,"46021.1","SD","South Dakota","Campbell County"
"Campbell",1380,30874,0.04,2237,"Missouri River","46021",9274.36820798,104714.69275548,42108,FALSE,1,"46021.1","SD","South Dakota","Campbell County"
"Campbell",1380,30874,0.04,2237,"Missouri River","46021",21800.65785013,104660.9418842,42109,FALSE,1,"46021.1","SD","South Dakota","Campbell County"
"Campbell",1380,30874,0.04,2237,"Missouri River","46021",21800.80918666,104660.9428017,42110,FALSE,1,"46021.1","SD","South Dakota","Campbell County"
"Campbell",1380,30874,0.04,2237,"Missouri River","46021",21983.66946567,66024.28310087,42111,FALSE,1,"46021.1","SD","South Dakota","Campbell County"
"Campbell",1380,30874,0.04,2237,"Missouri River","46021",-33463.04663574,66230.00936628,42112,FALSE,1,"46021.1","SD","South Dakota","Campbell County"
"Campbell",1380,30874,0.04,2237,"Missouri River","46021",-31592.60586389,72356.96298372,42113,FALSE,1,"46021.1","SD","South Dakota","Campbell County"
"Campbell",1380,30874,0.04,2237,"Missouri River","46021",-23990.0827657,76729.16115782,42114,FALSE,1,"46021.1","SD","South Dakota","Campbell County"
"Campbell",1380,30874,0.04,2237,"Missouri River","46021",-29966.95376755,96715.04973322,42115,FALSE,1,"46021.1","SD","South Dakota","Campbell County"
"Campbell",1380,30874,0.04,2237,"Missouri River","46021",-38611.620064,105045.32218483,42116,FALSE,1,"46021.1","SD","South Dakota","Campbell County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",56626.3078045,-166580.658286,42117,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",56635.48792149,-166559.78664379,42118,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",97231.25048848,-166159.42627504,42119,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",104393.58903829,-166034.98234763,42120,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
"Charles Mix",9163,248805,0.04,2715,"Missouri River","46023",104531.67617166,-180404.97372139,42121,FALSE,1,"46023.1","SD","South Dakota","Charles Mix County"
