city,YEAR,total arrivals by city,pct_of_county,county,lat,lon
Centerville,2020,7178,0.23,Turner,43.09749,-96.95614
Centerville,2021,7600,0.20,Turner,43.09749,-96.95614
Chamberlain,2019,92442,0.56,Brule,43.78567,-99.32009
Chamberlain,2020,88921,0.59,Brule,43.78567,-99.32009
Chamberlain,2021,89898,0.53,Brule,43.78567,-99.32009
Chancellor,2019,4991,0.12,Turner,43.41727,-96.97601
Chancellor,2020,3830,0.12,Turner,43.41727,-96.97601
Chancellor,2021,3548,0.09,Turner,43.41727,-96.97601
Cherry Creek,2019,697,0.13,Ziebach,44.63786,-101.52699
Cherry Creek,2020,320,0.06,Ziebach,44.63786,-101.52699
Cherry Creek,2021,702,0.08,Ziebach,44.63786,-101.52699
Chester,2019,3617,0.04,Lake,43.90551,-96.94779
Chester,2020,4504,0.07,Lake,43.90551,-96.94779
Chester,2021,5302,0.07,Lake,43.90551,-96.94779
Claire City,2019,1141,0.01,Roberts,45.86114,-97.09999
Claire City,2020,651,0.01,Roberts,45.86114,-97.09999
Claire City,2021,2002,0.01,Roberts,45.86114,-97.09999
Claremont,2019,3942,0.00,Brown,45.68049,-98.00242
Claremont,2020,1664,0.00,Brown,45.68049,-98.00242
Claremont,2021,2317,0.00,Brown,45.68049,-98.00242
Clark,2019,22801,0.52,Clark,44.89137,-97.73356
Clark,2020,21967,0.59,Clark,44.89137,-97.73356
Clark,2021,27986,0.54,Clark,44.89137,-97.73356
Clear Lake,2019,28948,0.49,Deuel,44.75654,-96.71677
Clear Lake,2020,20342,0.41,Deuel,44.75654,-96.71677
Clear Lake,2021,26404,0.55,Deuel,44.75654,-96.71677
Colman,2019,8091,0.18,Moody,43.97362,-96.81997
Colman,2020,9478,0.26,Moody,43.97362,-96.81997
Colman,2021,8540,0.21,Moody,43.97362,-96.81997
Colome,2019,5377,0.07,Tripp,43.22956,-99.74404
Colome,2020,12639,0.17,Tripp,43.22956,-99.74404
Colome,2021,9416,0.13,Tripp,43.22956,-99.74404
Colton,2019,4786,0.00,Minnehaha,43.79246,-96.9416
Colton,2020,9056,0.00,Minnehaha,43.79246,-96.9416
Colton,2021,4758,0.00,Minnehaha,43.79246,-96.9416
Columbia,2019,3971,0.00,Brown,45.61189,-98.31264
Columbia,2020,2050,0.00,Brown,45.61189,-98.31264
Columbia,2021,2165,0.00,Brown,45.61189,-98.31264
Conde,2019,3910,0.06,Spink,45.17272,-98.11625
Conde,2020,3925,0.07,Spink,45.17272,-98.11625
Conde,2021,4103,0.06,Spink,45.17272,-98.11625
Corona,2019,18616,0.12,Roberts,45.36599,-96.70427
Corona,2020,13162,0.10,Roberts,45.36599,-96.70427
Corona,2021,18882,0.12,Roberts,45.36599,-96.70427
Corsica,2019,20729,0.79,Douglas,43.44,-98.42779
Corsica,2020,17763,0.74,Douglas,43.44,-98.42779
Corsica,2021,16274,0.60,Douglas,43.44,-98.42779
Cresbard,2019,1621,0.06,Faulk,45.17268,-98.93258
Cresbard,2020,1500,0.07,Faulk,45.17268,-98.93258
Cresbard,2021,1638,0.08,Faulk,45.17268,-98.93258
Crooks,2019,1338,0.00,Minnehaha,43.66082,-96.81764
Crooks,2020,2058,0.00,Minnehaha,43.66082,-96.81764
Crooks,2021,1634,0.00,Minnehaha,43.66082,-96.81764
Custer,2019,206911,0.33,Custer,43.74773,-103.59894
Custer,2020,199161,0.33,Custer,43.74773,-103.59894
Custer,2021,177603,0.30,Custer,43.74773,-103.59894
Dallas,2019,8219,0.10,Gregory,32.84277,-96.79333
Dallas,2020,8312,0.10,Gregory,32.84277,-96.79333
Dallas,2021,7687,0.08,Gregory,32.84277,-96.79333
Dante,2019,1104,0.01,Charles Mix,43.02365,-98.17439
Dante,2020,2099,0.01,Charles Mix,43.02365,-98.17439
Dante,2021,2213,0.01,Charles Mix,43.02365,-98.17439
