city,YEAR,total arrivals by city,pct_of_county,county,arrival_unexposed_PCT,arrival_exposed_PCT,lat,lon
Brookings,2021,417625,1.211185344128,Brookings,0.8054307610994,0.1945692389006,44.30305,-96.78879
Bruce,2019,11216,0.024710268723,Brookings,0.9186046511628,0.0813953488372,44.46096,-96.90417
Bruce,2020,12039,0.047159511923,Brookings,0.8604166666667,0.1395833333333,44.46096,-96.90417
Bruce,2021,8991,0.026074190325,Brookings,0.8006993006993,0.1993006993007,44.46096,-96.90417
Bryant,2019,4405,0.050829553613,Hamlin,0.8857142857143,0.1142857142857,44.59156,-97.4397
Bryant,2020,9165,0.117824421240,Hamlin,0.9073170731707,0.0926829268293,44.59156,-97.4397
Bryant,2021,4872,0.067470990050,Hamlin,0.8735632183908,0.1264367816092,44.59156,-97.4397
Buffalo,2019,24709,0.684663493951,Harding,0.9423728813559,0.0576271186441,45.61688,-103.62856
Buffalo,2020,23050,0.673829999508,Harding,0.8901174844506,0.1098825155494,45.61688,-103.62856
Buffalo,2021,20683,0.652372572333,Harding,0.8724428399519,0.1275571600481,45.61688,-103.62856
Buffalo Gap,2019,2086,0.003313189461,Custer,0.8750000000000,0.1250000000000,43.49139,-103.16055
Buffalo Gap,2020,1632,0.002674521015,Custer,0.8767123287671,0.1232876712329,43.49139,-103.16055
Buffalo Gap,2021,1372,0.002319914644,Custer,0.9345794392523,0.0654205607477,43.49139,-103.16055
Bullhead,2019,316,0.010863675271,Corson,0.9433962264151,0.0566037735849,45.76904,-101.06562
Bullhead,2020,741,0.024731833115,Corson,0.7727272727273,0.2272727272727,45.76904,-101.06562
Bullhead,2021,166,0.005326074533,Corson,0.4444444444444,0.5555555555556,45.76904,-101.06562
Burbank,2019,15250,0.089596765392,Clay,0.9425162689805,0.0574837310195,42.7879,-96.81926
Burbank,2020,16851,0.145661253510,Clay,0.9352146263911,0.0647853736089,42.7879,-96.81926
Burbank,2021,18149,0.108602189411,Clay,0.8807838867719,0.1192161132281,42.7879,-96.81926
Burke,2019,18444,0.226568841361,Gregory,0.8945386064030,0.1054613935970,43.18212,-99.2861
Burke,2020,24119,0.295095073233,Gregory,0.8546655656482,0.1453344343518,43.18212,-99.2861
Burke,2021,25588,0.276789699174,Gregory,0.8369565217391,0.1630434782609,43.18212,-99.2861
Camp Crook,2019,3462,0.095935301814,Harding,0.9705882352941,0.0294117647059,45.55113,-104.08409
Camp Crook,2020,1801,0.052642968712,Harding,0.8636363636364,0.1363636363636,45.55113,-104.08409
Camp Crook,2021,736,0.023198999016,Harding,0.8474576271186,0.1525423728814,45.55113,-104.08409
Canistota,2019,7980,0.164477887133,Mccook,0.9417475728155,0.0582524271845,43.59748,-97.24911
Canistota,2020,8427,0.203702010743,Mccook,0.8537170263789,0.1462829736211,43.59748,-97.24911
Canistota,2021,7302,0.191588399178,Mccook,0.7993827160494,0.2006172839506,43.59748,-97.24911
